iter	Passed	Remaining
766	9596	2915
767	9613	2904
768	9622	2890
769	9634	2877
770	9644	2864
771	9653	2851
772	9665	2838
773	9683	2827
774	9695	2814
775	9703	2801
776	9717	2788
777	9730	2776
778	9739	2763
779	9751	2750
780	9765	2738
781	9787	2728
782	9796	2715
783	9817	2704
784	9828	2691
785	9845	2680
786	9863	2669
787	9876	2657
788	9885	2643
789	9897	2631
790	9905	2617
791	9914	2603
792	9924	2590
793	9935	2577
794	9948	2565
795	9958	2552
796	9966	2538
797	9989	2528
798	10007	2517
799	10023	2505
800	10040	2494
801	10059	2483
802	10074	2471
803	10087	2459
804	10096	2445
805	10153	2443
806	10168	2431
807	10180	2419
808	10188	2405
809	10202	2393
810	10216	2380
811	10228	2368
812	10238	2355
813	10242	2340
814	10261	2329
815	10273	2316
816	10286	2304
817	10295	2290
818	10310	2278
819	10322	2265
820	10333	2252
821	10347	2240
822	10355	2227
823	10372	2215
824	10391	2204
825	10403	2191
826	10413	2178
827	10431	2166
828	10440	2153
829	10445	2139
830	10453	2125
831	10463	2112
832	10474	2099
833	10485	2086
834	10492	2073
835	10501	2060
836	10513	2047
837	10518	2033
838	10533	2021
839	10554	2010
840	10564	1997
841	10567	1982
842	10590	1972
843	10602	1959
844	10622	1948
845	10639	1936
846	10658	1925
847	10673	1913
848	10683	1900
849	10691	1886
850	10699	1873
851	10707	1859
852	10783	1858
853	10801	1846
854	10817	1834
855	10839	1823
856	10851	1810
857	10867	1798
858	10884	1786
859	10891	1773
860	10899	1759
861	10907	1746
862	10958	1739
863	10974	1727
864	10987	1714
865	11006	1703
866	11011	1689
867	11020	1675
868	11023	1661
869	11026	1647
870	11031	1633
871	11038	1620
872	11050	1607
873	11062	1594
874	11076	1582
875	11089	1569
876	11103	1557
877	11118	1544
878	11133	1532
879	11143	1519
880	11154	1506
881	11164	1493
882	11175	1480
883	11184	1467
884	11192	1454
885	11196	1440
886	11203	1427
887	11207	1413
888	11212	1399
889	11217	1386
890	11221	1372
891	11224	1358
892	11229	1345
893	11237	1332
894	11240	1318
895	11255	1306
896	11268	1293
897	11278	1281
898	11287	1268
899	11297	1255
900	11302	1241
901	11313	1229
902	11324	1216
903	11339	1204
904	11348	1191
905	11356	1178
906	11367	1165
907	11374	1152
908	11380	1139
909	11392	1126
910	11409	1114
911	11419	1101
912	11431	1089
913	11441	1076
914	11447	1063
915	11456	1050
916	11470	1038
917	11483	1025
918	11495	1013
919	11502	1000
920	11516	987
921	11527	975
922	11529	961
923	11532	948
924	11535	935
925	11536	921
926	11539	908
927	11541	895
928	11544	882
929	11547	869
930	11549	856
931	11553	842
932	11557	829
933	11559	816
934	11562	803
935	11565	790
936	11580	778
937	11585	765
938	11594	753
939	11600	740
940	11602	727
941	11608	714
942	11611	701
943	11615	689
944	11634	677
945	11637	664
946	11640	651
947	11643	638
948	11646	625
949	11649	613
950	11652	600
951	11656	587
952	11659	575
953	11662	562
954	11665	549
955	11668	537
956	11671	524
957	11675	511
958	11682	499
959	11688	487
960	11694	474
961	11703	462
962	11710	449
963	11714	437
964	11728	425
965	11731	412
966	11737	400
967	11744	388
968	11748	375
969	11753	363
970	11759	351
971	11763	338
972	11768	326
973	11774	314
974	11778	302
975	11782	289
976	11786	277
977	11791	265
978	11796	253
979	11801	240
980	11805	228
981	11808	216
982	11810	204
983	11812	192
984	11813	179
985	11814	167
986	11816	155
987	11817	143
988	11819	131
989	11820	119
990	11821	107
991	11823	95
992	11824	83
993	11826	71
994	11827	59
995	11829	47
996	11831	35
997	11832	23
998	11834	11
999	11835	0

999	11968	0

